,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_id,teks_display_path
67,1634,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.16.b.21.B,5,175809,110.16.21.B
68,1635,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.16.b.21.B.i,5,157990,110.16.21.Bi
69,1636,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.16.b.21.B.ii,5,157991,110.16.21.Bii
70,1637,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.16.b.21.C,5,157992,110.16.21.C
71,1638,English,Oral and Written Conventions/Spelling,110.16.b.22,5,175575,110.16.22
72,1639,English,Oral and Written Conventions/Spelling,110.16.b.22.A,5,175810,110.16.22.A
73,1640,English,Oral and Written Conventions/Spelling,110.16.b.22.A.i,5,157993,110.16.22.Ai
74,1641,English,Oral and Written Conventions/Spelling,110.16.b.22.A.ii,5,157994,110.16.22.Aii
75,1642,English,Oral and Written Conventions/Spelling,110.16.b.22.A.iii,5,157995,110.16.22.Aiii
76,1643,English,Oral and Written Conventions/Spelling,110.16.b.22.B,5,175811,110.16.22.B
77,1644,English,Oral and Written Conventions/Spelling,110.16.b.22.B.i,5,157996,110.16.22.Bi
78,1645,English,Oral and Written Conventions/Spelling,110.16.b.22.B.ii,5,157997,110.16.22.Bii
79,1646,English,Oral and Written Conventions/Spelling,110.16.b.22.B.iii,5,157998,110.16.22.Biii
80,1647,English,Oral and Written Conventions/Spelling,110.16.b.22.B.iv,5,157999,110.16.22.Biv
81,1648,English,Oral and Written Conventions/Spelling,110.16.b.22.C,5,158000,110.16.22.C
82,1649,English,Oral and Written Conventions/Spelling,110.16.b.22.D,5,158001,110.16.22.D
83,1650,English,Oral and Written Conventions/Spelling,110.16.b.22.E,5,158002,110.16.22.E
84,1651,English,Research/Research Plan,110.16.b.23,5,175576,110.16.23
85,1652,English,Research/Research Plan,110.16.b.23.A,5,158003,110.16.23.A
86,1653,English,Research/Research Plan,110.16.b.23.B,5,158004,110.16.23.B
87,1654,English,Research/Gathering Sources,110.16.b.24,5,175577,110.16.24
88,1655,English,Research/Gathering Sources,110.16.b.24.A,5,158005,110.16.24.A
89,1656,English,Research/Gathering Sources,110.16.b.24.B,5,158006,110.16.24.B
90,1657,English,Research/Gathering Sources,110.16.b.24.C,5,158007,110.16.24.C
91,1658,English,Research/Gathering Sources,110.16.b.24.D,5,158008,110.16.24.D
92,1659,English,Research/Gathering Sources,110.16.b.24.E,5,158009,110.16.24.E
93,1660,English,Research/Synthesizing Information,110.16.b.25,5,175578,110.16.25
94,1661,English,Research/Synthesizing Information,110.16.b.25.A,5,158010,110.16.25.A
95,1662,English,Research/Synthesizing Information,110.16.b.25.B,5,158011,110.16.25.B
96,1663,English,Research/Organizing and Presenting Ideas,110.16.b.26,5,175579,110.16.26
97,1664,English,Research/Organizing and Presenting Ideas,110.16.b.26.A,5,158012,110.16.26.A
98,1665,English,Research/Organizing and Presenting Ideas,110.16.b.26.B,5,158013,110.16.26.B
99,1666,English,Research/Organizing and Presenting Ideas,110.16.b.26.C,5,158014,110.16.26.C
100,1667,English,Research/Organizing and Presenting Ideas,110.16.b.26.D,5,158015,110.16.26.D
101,1668,English,Listening and Speaking/Listening,110.16.b.27,5,175580,110.16.27
102,1669,English,Listening and Speaking/Listening,110.16.b.27.A,5,158016,110.16.27.A
103,1670,English,Listening and Speaking/Listening,110.16.b.27.B,5,158017,110.16.27.B
104,1671,English,Listening and Speaking/Listening,110.16.b.27.C,5,158018,110.16.27.C
105,1672,English,Listening and Speaking/Speaking,110.16.b.28,5,158019,110.16.28.A
106,1673,English,Listening and Speaking/Teamwork,110.16.b.29,5,158020,110.16.29.A
107,1561,English,Reading/Comprehension of Literary Text/Theme and Genre,110.16.b.3,5,175583,110.16.3
108,1562,English,Reading/Comprehension of Literary Text/Theme and Genre,110.16.b.3.A,5,157933,110.16.3.A
109,1563,English,Reading/Comprehension of Literary Text/Theme and Genre,110.16.b.3.B,5,157934,110.16.3.B
110,1564,English,Reading/Comprehension of Literary Text/Theme and Genre,110.16.b.3.C,5,157935,110.16.3.C
111,1565,English,Reading/Comprehension of Literary Text/Poetry,110.16.b.4,5,157936,110.16.4.A
112,1566,English,Reading/Comprehension of Literary Text/Drama,110.16.b.5,5,175585,110.16.5
113,1569,English,Reading/Comprehension of Literary Text/Fiction,110.16.b.6,5,,
114,1570,English,Reading/Comprehension of Literary Text/Fiction,110.16.b.6.A,5,,
115,1571,English,Reading/Comprehension of Literary Text/Fiction,110.16.b.6.B,5,,
116,1572,English,Reading/Comprehension of Literary Text/Fiction,110.16.b.6.C,5,,
117,1573,English,Reading/Comprehension of Literary Text/Literary Nonfiction,110.16.b.7,5,,
118,1574,English,Reading/Comprehension of Literary Text/Sensory Language,110.16.b.8,5,,
119,1575,English,Reading/Comprehension of Text/Independent Reading,110.16.b.9,5,,
