,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_id,teks_display_path
66,1414,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.14.b.23,3,175516,110.14.23
67,1415,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.14.b.23.A,3,157813,110.14.23.A
68,1416,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.14.b.23.B,3,175794,110.14.23.B
69,1417,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.14.b.23.B.i,3,157814,110.14.23.Bi
70,1418,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.14.b.23.B.ii,3,157815,110.14.23.Bii
71,1372,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.14.b.23.B.iii,3,157816,110.14.23.Biii
72,1373,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.14.b.23.C,3,175795,110.14.23.C
73,1374,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.14.b.23.C.i,3,157817,110.14.23.Ci
74,1375,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.14.b.23.C.ii,3,157818,110.14.23.Cii
75,1419,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.14.b.23.D,3,157819,110.14.23.D
76,1420,English,Oral and Written Conventions/Spelling,110.14.b.24,3,175517,110.14.24
77,1421,English,Oral and Written Conventions/Spelling,110.14.b.24.A,3,157820,110.14.24.A
78,1422,English,Oral and Written Conventions/Spelling,110.14.b.24.B,3,175796,110.14.24.B
79,1423,English,Oral and Written Conventions/Spelling,110.14.b.24.B.i,3,157821,110.14.24.Bi
80,1424,English,Oral and Written Conventions/Spelling,110.14.b.24.B.ii,3,157822,110.14.24.Bii
81,1425,English,Oral and Written Conventions/Spelling,110.14.b.24.B.iii,3,157823,110.14.24.Biii
82,1426,English,Oral and Written Conventions/Spelling,110.14.b.24.B.iv,3,157824,110.14.24.Biv
83,1427,English,Oral and Written Conventions/Spelling,110.14.b.24.B.v,3,157825,110.14.24.Bv
84,1428,English,Oral and Written Conventions/Spelling,110.14.b.24.B.vi,3,157826,110.14.24.Bvi
85,1429,English,Oral and Written Conventions/Spelling,110.14.b.24.C,3,157827,110.14.24.C
86,1430,English,Oral and Written Conventions/Spelling,110.14.b.24.D,3,157828,110.14.24.D
87,1431,English,Oral and Written Conventions/Spelling,110.14.b.24.E,3,157829,110.14.24.E
88,1432,English,Oral and Written Conventions/Spelling,110.14.b.24.F,3,157830,110.14.24.F
89,1433,English,Oral and Written Conventions/Spelling,110.14.b.24.G,3,157831,110.14.24.G
90,1434,English,Research/Research Plan,110.14.b.25,3,175518,110.14.25
91,1435,English,Research/Research Plan,110.14.b.25.A,3,157832,110.14.25.A
92,1436,English,Research/Research Plan,110.14.b.25.B,3,157833,110.14.25.B
93,1437,English,Research/Gathering Sources,110.14.b.26,3,175519,110.14.26
94,1438,English,Research/Gathering Sources,110.14.b.26.A,3,175797,110.14.26.A
95,1439,English,Research/Gathering Sources,110.14.b.26.A.i,3,157834,110.14.26.Ai
96,1440,English,Research/Gathering Sources,110.14.b.26.A.ii,3,157835,110.14.26.Aii
97,1441,English,Research/Gathering Sources,110.14.b.26.A.iii,3,157836,110.14.26.Aiii
98,1442,English,Research/Gathering Sources,110.14.b.26.B,3,157837,110.14.26.B
99,1443,English,Research/Gathering Sources,110.14.b.26.C,3,157838,110.14.26.C
100,1444,English,Research/Gathering Sources,110.14.b.26.D,3,157839,110.14.26.D
101,1445,English,Research/Gathering Sources,110.14.b.26.E,3,157840,110.14.26.E
102,1446,English,Research/Synthesizing Information,110.14.b.27,3,157841,110.14.27.A
103,1447,English,Research/Organizing and Presenting Ideas,110.14.b.28,3,157842,110.14.28.A
104,1448,English,Listening and Speaking/Listening,110.14.b.29,3,175522,110.14.29
105,1449,English,Listening and Speaking/Listening,110.14.b.29.A,3,157843,110.14.29.A
106,1450,English,Listening and Speaking/Listening,110.14.b.29.B,3,157844,110.14.29.B
107,1350,English,Reading/Fluency,110.14.b.3,3,157762,110.14.3.A
108,1451,English,Listening and Speaking/Speaking,110.14.b.30,3,157845,110.14.30.A
109,1452,English,Listening and Speaking/Teamwork,110.14.b.31,3,157846,110.14.31.A
110,1351,English,Reading/Vocabulary Development,110.14.b.4,3,175526,110.14.4
111,1352,English,Reading/Vocabulary Development,110.14.b.4.A,3,157763,110.14.4.A
112,1353,English,Reading/Vocabulary Development,110.14.b.4.B,3,157764,110.14.4.B
113,1354,English,Reading/Vocabulary Development,110.14.b.4.C,3,157765,110.14.4.C
114,1355,English,Reading/Vocabulary Development,110.14.b.4.D,3,157766,110.14.4.D
115,1356,English,Reading/Vocabulary Development,110.14.b.4.E,3,157767,110.14.4.E
116,1357,English,Reading/Comprehension of Literary Text/Theme and Genre,110.14.b.5,3,175527,110.14.5
117,1358,English,Reading/Comprehension of Literary Text/Theme and Genre,110.14.b.5.A,3,157768,110.14.5.A
118,1359,English,Reading/Comprehension of Literary Text/Theme and Genre,110.14.b.5.B,3,157769,110.14.5.B
119,1360,English,Reading/Comprehension of Literary Text/Poetry,110.14.b.6,3,157770,110.14.6.A
120,1363,English,Reading/Comprehension of Literary Text/Drama,110.14.b.7,3,157771,110.14.7.A
121,1364,English,Reading/Comprehension of Literary Text/Fiction,110.14.b.8,3,175530,110.14.8
122,1361,English,Reading/Comprehension of Literary Text/Fiction,110.14.b.8.A,3,157772,110.14.8.A
123,1362,English,Reading/Comprehension of Literary Text/Fiction,110.14.b.8.B,3,157773,110.14.8.B
124,1343,English,Reading/Comprehension of Literary Text/Fiction,110.14.b.8.C,3,157774,110.14.8.C
125,1365,English,Reading/Comprehension of Literary Text/Literary Nonfiction,110.14.b.9,3,157775,110.14.9.A
