,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_id,teks_display_path
47,1853,English,Writing/Persuasive Texts,110.19.b.18.B,7,158160,110.19.18.B
48,1854,English,Writing/Persuasive Texts,110.19.b.18.C,7,158161,110.19.18.C
49,1855,English,Oral and Written Conventions/Conventions,110.19.b.19,7,175628,110.19.19
50,1856,English,Oral and Written Conventions/Conventions,110.19.b.19.A,7,175829,110.19.19.A
51,1857,English,Oral and Written Conventions/Conventions,110.19.b.19.A.i,7,158162,110.19.19.Ai
52,1858,English,Oral and Written Conventions/Conventions,110.19.b.19.A.ii,7,158163,110.19.19.Aii
53,1859,English,Oral and Written Conventions/Conventions,110.19.b.19.A.iii,7,158164,110.19.19.Aiii
54,1860,English,Oral and Written Conventions/Conventions,110.19.b.19.A.iv,7,158165,110.19.19.Aiv
55,1861,English,Oral and Written Conventions/Conventions,110.19.b.19.A.v,7,158166,110.19.19.Av
56,1862,English,Oral and Written Conventions/Conventions,110.19.b.19.A.vi,7,158167,110.19.19.Avi
57,1863,English,Oral and Written Conventions/Conventions,110.19.b.19.A.vii,7,158168,110.19.19.Avii
58,1864,English,Oral and Written Conventions/Conventions,110.19.b.19.A.viii,7,158169,110.19.19.Aviii
59,1865,English,Oral and Written Conventions/Conventions,110.19.b.19.B,7,158170,110.19.19.B
60,1866,English,Oral and Written Conventions/Conventions,110.19.b.19.C,7,158171,110.19.19.C
61,1791,English,Reading/Vocabulary Development,110.19.b.2,7,175629,110.19.2
62,1792,English,Reading/Vocabulary Development,110.19.b.2.A,7,158109,110.19.2.A
63,1793,English,Reading/Vocabulary Development,110.19.b.2.B,7,158110,110.19.2.B
64,1794,English,Reading/Vocabulary Development,110.19.b.2.C,7,158111,110.19.2.C
65,1797,English,Reading/Vocabulary Development,110.19.b.2.D,7,158112,110.19.2.D
66,1798,English,Reading/Vocabulary Development,110.19.b.2.E,7,158113,110.19.2.E
67,1867,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.19.b.20,7,175630,110.19.20
68,1868,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.19.b.20.A,7,158172,110.19.20.A
69,1869,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.19.b.20.B,7,175830,110.19.20.B
70,1870,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.19.b.20.B.i,7,158173,110.19.20.Bi
71,1808,English,"Oral and Written Conventions/Handwriting, Capitalization, and Punctuation",110.19.b.20.B.ii,7,158174,110.19.20.Bii
72,1871,English,Oral and Written Conventions/Spelling,110.19.b.21,7,158175,110.19.21.A
73,1872,English,Research/Research Plan,110.19.b.22,7,175632,110.19.22
74,1873,English,Research/Research Plan,110.19.b.22.A,7,158176,110.19.22.A
75,1874,English,Research/Research Plan,110.19.b.22.B,7,158177,110.19.22.B
76,1875,English,Research/Gathering Sources,110.19.b.23,7,175633,110.19.23
77,1876,English,Research/Gathering Sources,110.19.b.23.A,7,158178,110.19.23.A
78,1877,English,Research/Gathering Sources,110.19.b.23.B,7,158179,110.19.23.B
79,1878,English,Research/Gathering Sources,110.19.b.23.C,7,158180,110.19.23.C
80,1879,English,Research/Gathering Sources,110.19.b.23.D,7,158181,110.19.23.D
81,1880,English,Research/Synthesizing Information,110.19.b.24,7,175634,110.19.24
82,1881,English,Research/Synthesizing Information,110.19.b.24.A,7,158182,110.19.24.A
83,1882,English,Research/Synthesizing Information,110.19.b.24.B,7,158183,110.19.24.B
84,1883,English,Research/Organizing and Presenting Ideas,110.19.b.25,7,175635,110.19.25
85,1884,English,Research/Organizing and Presenting Ideas,110.19.b.25.A,7,158184,110.19.25.A
86,1885,English,Research/Organizing and Presenting Ideas,110.19.b.25.B,7,158185,110.19.25.B
87,1886,English,Research/Organizing and Presenting Ideas,110.19.b.25.C,7,158186,110.19.25.C
88,1887,English,Research/Organizing and Presenting Ideas,110.19.b.25.D,7,158187,110.19.25.D
89,1890,English,Listening and Speaking/Listening,110.19.b.26,7,175636,110.19.26
90,1891,English,Listening and Speaking/Listening,110.19.b.26.A,7,158188,110.19.26.A
91,1888,English,Listening and Speaking/Listening,110.19.b.26.B,7,158189,110.19.26.B
92,1892,English,Listening and Speaking/Listening,110.19.b.26.C,7,158190,110.19.26.C
93,1893,English,Listening and Speaking/Speaking,110.19.b.27,7,158191,110.19.27.A
94,1894,English,Listening and Speaking/Teamwork,110.19.b.28,7,158192,110.19.28.A
95,1799,English,Reading/Comprehension of Literary Text/Theme and Genre,110.19.b.3,7,175639,110.19.3
96,1795,English,Reading/Comprehension of Literary Text/Theme and Genre,110.19.b.3.A,7,158114,110.19.3.A
97,1800,English,Reading/Comprehension of Literary Text/Theme and Genre,110.19.b.3.B,7,158115,110.19.3.B
98,1796,English,Reading/Comprehension of Literary Text/Theme and Genre,110.19.b.3.C,7,158116,110.19.3.C
99,1801,English,Reading/Comprehension of Literary Text/Poetry,110.19.b.4,7,158117,110.19.4.A
100,1802,English,Reading/Comprehension of Literary Text/Drama,110.19.b.5,7,175641,110.19.5
101,1803,English,Reading/Comprehension of Literary Text/Fiction,110.19.b.6,7,,
102,1775,English,Reading/Comprehension of Literary Text/Fiction,110.19.b.6.A,7,,
103,1804,English,Reading/Comprehension of Literary Text/Fiction,110.19.b.6.B,7,,
104,1776,English,Reading/Comprehension of Literary Text/Fiction,110.19.b.6.C,7,,
105,1805,English,Reading/Comprehension of Literary Text/Literary Nonfiction,110.19.b.7,7,,
106,1806,English,Reading/Comprehension of Literary Text/Sensory Language,110.19.b.8,7,,
107,1810,English,Reading/Comprehension of Informational Text/Culture and History,110.19.b.9,7,,
