,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_id,teks_display_path
0,1790,English,Reading/Fluency,110.19.b.1,7,158108,110.19.1.A
1,1811,English,Reading/Comprehension of Informational Text/Expository Text,110.19.b.10,7,175619,110.19.10
2,1812,English,Reading/Comprehension of Informational Text/Expository Text,110.19.b.10.A,7,158125,110.19.10.A
3,1813,English,Reading/Comprehension of Informational Text/Expository Text,110.19.b.10.B,7,158126,110.19.10.B
4,1814,English,Reading/Comprehension of Informational Text/Expository Text,110.19.b.10.C,7,158127,110.19.10.C
5,1815,English,Reading/Comprehension of Informational Text/Expository Text,110.19.b.10.D,7,158128,110.19.10.D
6,1816,English,Reading/Comprehension of Informational Text/Persuasive Text,110.19.b.11,7,175620,110.19.11
7,1817,English,Reading/Comprehension of Informational Text/Persuasive Text,110.19.b.11.A,7,158129,110.19.11.A
8,1818,English,Reading/Comprehension of Informational Text/Persuasive Text,110.19.b.11.B,7,158130,110.19.11.B
9,1819,English,Reading/Comprehension of Informational Text/Procedural Texts,110.19.b.12,7,175621,110.19.12
10,1820,English,Reading/Comprehension of Informational Text/Procedural Texts,110.19.b.12.A,7,158131,110.19.12.A
11,1821,English,Reading/Comprehension of Informational Text/Procedural Texts,110.19.b.12.B,7,158132,110.19.12.B
12,1822,English,Reading/Media Literacy,110.19.b.13,7,175622,110.19.13
13,1823,English,Reading/Media Literacy,110.19.b.13.A,7,158133,110.19.13.A
14,1824,English,Reading/Media Literacy,110.19.b.13.B,7,158134,110.19.13.B
15,1825,English,Reading/Media Literacy,110.19.b.13.C,7,158135,110.19.13.C
16,1777,English,Reading/Media Literacy,110.19.b.13.D,7,158136,110.19.13.D
17,1826,English,Writing/Writing Process,110.19.b.14,7,175623,110.19.14
18,1827,English,Writing/Writing Process,110.19.b.14.A,7,158137,110.19.14.A
19,1828,English,Writing/Writing Process,110.19.b.14.B,7,158138,110.19.14.B
20,1829,English,Writing/Writing Process,110.19.b.14.C,7,158139,110.19.14.C
21,1830,English,Writing/Writing Process,110.19.b.14.D,7,158140,110.19.14.D
22,1831,English,Writing/Writing Process,110.19.b.14.E,7,158141,110.19.14.E
23,1832,English,Writing/Literary Texts,110.19.b.15,7,175624,110.19.15
24,1833,English,Writing/Literary Texts,110.19.b.15.A,7,175826,110.19.15.A
25,1834,English,Writing/Literary Texts,110.19.b.15.A.i,7,158142,110.19.15.Ai
26,1835,English,Writing/Literary Texts,110.19.b.15.A.ii,7,158143,110.19.15.Aii
27,1836,English,Writing/Literary Texts,110.19.b.15.A.iii,7,158144,110.19.15.Aiii
28,1837,English,Writing/Literary Texts,110.19.b.15.A.iv,7,158145,110.19.15.Aiv
29,1838,English,Writing/Literary Texts,110.19.b.15.A.v,7,158146,110.19.15.Av
30,1839,English,Writing/Literary Texts,110.19.b.15.B,7,175827,110.19.15.B
31,1840,English,Writing/Literary Texts,110.19.b.15.B.i,7,158147,110.19.15.Bi
32,1841,English,Writing/Literary Texts,110.19.b.15.B.ii,7,158148,110.19.15.Bii
33,1842,English,Writing/Literary Texts,110.19.b.15.B.iii,7,158149,110.19.15.Biii
34,1843,English,Writing,110.19.b.16,7,158150,110.19.16.A
35,1844,English,Writing/Expository and Procedural Texts,110.19.b.17,7,175626,110.19.17
36,1845,English,Writing/Expository and Procedural Texts,110.19.b.17.A,7,175828,110.19.17.A
37,1846,English,Writing/Expository and Procedural Texts,110.19.b.17.A.i,7,158151,110.19.17.Ai
38,1847,English,Writing/Expository and Procedural Texts,110.19.b.17.A.ii,7,158152,110.19.17.Aii
39,1848,English,Writing/Expository and Procedural Texts,110.19.b.17.A.iii,7,158153,110.19.17.Aiii
40,1778,English,Writing/Expository and Procedural Texts,110.19.b.17.A.iv,7,158154,110.19.17.Aiv
41,1735,English,Writing/Expository and Procedural Texts,110.19.b.17.A.v,7,158155,110.19.17.Av
42,1807,English,Writing/Expository and Procedural Texts,110.19.b.17.B,7,158156,110.19.17.B
43,1849,English,Writing/Expository and Procedural Texts,110.19.b.17.C,7,158157,110.19.17.C
44,1850,English,Writing/Expository and Procedural Texts,110.19.b.17.D,7,158158,110.19.17.D
45,1851,English,Writing/Persuasive Texts,110.19.b.18,7,175627,110.19.18
46,1852,English,Writing/Persuasive Texts,110.19.b.18.A,7,158159,110.19.18.A
