,row_id,academic_subject,reporting_category,teks_number,grade_levels,teks_id,teks_display_path
0,1674,English,Reading/Fluency,110.18.b.1,6,158021,110.18.1.A
1,1696,English,Reading/Comprehension of Informational Text/Expository Text,110.18.b.10,6,175591,110.18.10
2,1697,English,Reading/Comprehension of Informational Text/Expository Text,110.18.b.10.A,6,158038,110.18.10.A
3,1698,English,Reading/Comprehension of Informational Text/Expository Text,110.18.b.10.B,6,158039,110.18.10.B
4,1699,English,Reading/Comprehension of Informational Text/Expository Text,110.18.b.10.C,6,158040,110.18.10.C
5,1700,English,Reading/Comprehension of Informational Text/Expository Text,110.18.b.10.D,6,158041,110.18.10.D
6,1701,English,Reading/Comprehension of Informational Text/Persuasive Text,110.18.b.11,6,175592,110.18.11
7,1702,English,Reading/Comprehension of Informational Text/Persuasive Text,110.18.b.11.A,6,158042,110.18.11.A
8,1703,English,Reading/Comprehension of Informational Text/Persuasive Text,110.18.b.11.B,6,158043,110.18.11.B
9,1704,English,Reading/Comprehension of Informational Text/Procedural Texts,110.18.b.12,6,175593,110.18.12
10,1705,English,Reading/Comprehension of Informational Text/Procedural Texts,110.18.b.12.A,6,158044,110.18.12.A
11,1706,English,Reading/Comprehension of Informational Text/Procedural Texts,110.18.b.12.B,6,158045,110.18.12.B
12,1707,English,Reading/Media Literacy,110.18.b.13,6,175594,110.18.13
13,1708,English,Reading/Media Literacy,110.18.b.13.A,6,158046,110.18.13.A
14,1709,English,Reading/Media Literacy,110.18.b.13.B,6,158047,110.18.13.B
15,1710,English,Reading/Media Literacy,110.18.b.13.C,6,158048,110.18.13.C
16,1711,English,Reading/Media Literacy,110.18.b.13.D,6,158049,110.18.13.D
17,1715,English,Writing/Writing Process,110.18.b.14,6,175595,110.18.14
18,1716,English,Writing/Writing Process,110.18.b.14.A,6,158050,110.18.14.A
19,1717,English,Writing/Writing Process,110.18.b.14.B,6,158051,110.18.14.B
20,1718,English,Writing/Writing Process,110.18.b.14.C,6,158052,110.18.14.C
21,1712,English,Writing/Writing Process,110.18.b.14.D,6,158053,110.18.14.D
22,1713,English,Writing/Writing Process,110.18.b.14.E,6,158054,110.18.14.E
23,1719,English,Writing/Literary Texts,110.18.b.15,6,175596,110.18.15
24,1714,English,Writing/Literary Texts,110.18.b.15.A,6,175820,110.18.15.A
25,1694,English,Writing/Literary Texts,110.18.b.15.A.i,6,158055,110.18.15.Ai
26,1695,English,Writing/Literary Texts,110.18.b.15.A.ii,6,158056,110.18.15.Aii
27,1720,English,Writing/Literary Texts,110.18.b.15.A.iii,6,158057,110.18.15.Aiii
28,1721,English,Writing/Literary Texts,110.18.b.15.B,6,175821,110.18.15.B
29,1722,English,Writing/Literary Texts,110.18.b.15.B.i,6,158058,110.18.15.Bi
30,1723,English,Writing/Literary Texts,110.18.b.15.B.ii,6,158059,110.18.15.Bii
31,1724,English,Writing/Literary Texts,110.18.b.15.B.iii,6,158060,110.18.15.Biii
32,1725,English,Writing,110.18.b.16,6,158061,110.18.16.A
33,1726,English,Writing/Expository and Procedural Texts,110.18.b.17,6,175598,110.18.17
34,1727,English,Writing/Expository and Procedural Texts,110.18.b.17.A,6,175822,110.18.17.A
35,1728,English,Writing/Expository and Procedural Texts,110.18.b.17.A.i,6,158062,110.18.17.Ai
36,1729,English,Writing/Expository and Procedural Texts,110.18.b.17.A.ii,6,158063,110.18.17.Aii
37,1730,English,Writing/Expository and Procedural Texts,110.18.b.17.A.iii,6,158064,110.18.17.Aiii
38,1731,English,Writing/Expository and Procedural Texts,110.18.b.17.A.iv,6,158065,110.18.17.Aiv
39,1732,English,Writing/Expository and Procedural Texts,110.18.b.17.B,6,158066,110.18.17.B
40,1733,English,Writing/Expository and Procedural Texts,110.18.b.17.C,6,158067,110.18.17.C
41,1734,English,Writing/Expository and Procedural Texts,110.18.b.17.D,6,158068,110.18.17.D
42,1736,English,Writing/Persuasive Texts,110.18.b.18,6,158069,110.18.18.A
43,1737,English,Oral and Written Conventions/Conventions,110.18.b.19,6,175600,110.18.19
